right_error
0.0
1.0
0.0
2.0
2.0
1.0
3.0
1.0
0.0
0.0
0.0
2.0
3.0
3.0
3.0
2.0
3.0
1.0
2.0
1.0
0.0
3.0
2.0
3.0
1.0
2.0
0.0
1.0
1.0
1.0
0.0
4.0
1.0
3.0
3.0
3.0
5.0
3.0
3.0
4.0
0.0
1.0
0.0
3.0
3.0
2.0
0.0
3.0
0.0
1.0
0.0
2.0
3.0
1.0
1.0
3.0
2.0
3.0
0.0
1.0
0.0
2.0
1.0
2.0
3.0
1.0
3.0
1.0
1.0
0.0
0.0
1.0
0.0
3.0
1.0
0.0
1.0
0.0
3.0
3.0
0.0
1.0
1.0
2.0
2.0
2.0
0.0
3.0
2.0
1.0
0.0
1.0
1.0
0.0
5.0
1.0
0.0
6.0
3.0
8.0
0.0
5.0
1.0
0.0
6.0
3.0
1.0
5.0
6.0
10.0
0.0
4.0
0.0
0.0
3.0
2.0
1.0
4.0
2.0
8.0
0.0
4.0
1.0
2.0
0.0
2.0
1.0
2.0
2.0
5.0
0.0
2.0
3.0
2.0
5.0
4.0
4.0
2.0
0.0
1.0
0.0
2.0
6.0
11.0
10.0
16.0
18.0
27.0
30.0
31.0
0.0
7.0
12.0
18.0
27.0
31.0
36.0
47.0
53.0
60.0
0.0
4.0
17.0
22.0
24.0
36.0
32.0
40.0
50.0
47.0
0.0
3.0
9.0
17.0
19.0
25.0
27.0
33.0
39.0
40.0
0.0
0.0
3.0
6.0
7.0
8.0
8.0
4.0
2.0
9.0
0.0
2.0
3.0
3.0
9.0
2.0
6.0
5.0
1.0
3.0
0.0
2.0
1.0
1.0
1.0
2.0
5.0
2.0
1.0
5.0
0.0
0.0
3.0
2.0
1.0
5.0
3.0
6.0
2.0
2.0
0.0
4.0
3.0
6.0
4.0
4.0
4.0
4.0
6.0
2.0
0.0
1.0
2.0
0.0
6.0
10.0
10.0
17.0
18.0
22.0
0.0
2.0
6.0
2.0
4.0
10.0
9.0
11.0
14.0
16.0
0.0
0.0
0.0
1.0
3.0
0.0
1.0
1.0
2.0
0.0
0.0
1.0
3.0
5.0
2.0
5.0
4.0
4.0
7.0
5.0
0.0
6.0
3.0
4.0
3.0
2.0
5.0
2.0
8.0
4.0
0.0
2.0
0.0
4.0
3.0
1.0
2.0
1.0
6.0
5.0
0.0
3.0
1.0
1.0
0.0
1.0
5.0
2.0
2.0
0.0
0.0
1.0
0.0
3.0
0.0
4.0
1.0
3.0
1.0
6.0
0.0
2.0
0.0
2.0
1.0
4.0
5.0
6.0
6.0
6.0
0.0
2.0
3.0
5.0
0.0
3.0
4.0
5.0
5.0
1.0
0.0
1.0
0.0
1.0
2.0
3.0
2.0
4.0
0.0
0.0
0.0
3.0
5.0
0.0
2.0
2.0
2.0
3.0
1.0
0.0
0.0
0.0
3.0
9.0
12.0
13.0
22.0
19.0
18.0
22.0
0.0
0.0
2.0
2.0
1.0
0.0
7.0
7.0
8.0
10.0
0.0
0.0
1.0
4.0
1.0
1.0
0.0
0.0
4.0
1.0
0.0
0.0
1.0
0.0
1.0
2.0
3.0
2.0
1.0
2.0
0.0
1.0
3.0
1.0
3.0
2.0
3.0
2.0
2.0
1.0
0.0
5.0
3.0
3.0
5.0
3.0
1.0
1.0
2.0
3.0
0.0
1.0
3.0
1.0
1.0
4.0
3.0
0.0
0.0
1.0
0.0
5.0
3.0
2.0
0.0
3.0
1.0
0.0
1.0
0.0
0.0
1.0
2.0
3.0
3.0
3.0
2.0
2.0
2.0
0.0
0.0
5.0
4.0
1.0
2.0
3.0
6.0
2.0
5.0
5.0
0.0
6.0
7.0
9.0
11.0
6.0
17.0
17.0
25.0
27.0
0.0
2.0
0.0
4.0
8.0
9.0
14.0
12.0
19.0
21.0
0.0
3.0
5.0
8.0
7.0
10.0
11.0
17.0
14.0
18.0
0.0
1.0
3.0
1.0
0.0
3.0
2.0
2.0
4.0
3.0
0.0
2.0
5.0
6.0
1.0
7.0
5.0
1.0
5.0
