human_line,YOLO line,ModelB line,YOLO error,ModelB error
612.0,609.0,608.9897945858538,3.0,3.010205414146185
613.0,609.0,611.2506260871887,4.0,1.7493739128112793
611.0,608.0,610.2506866455078,3.0,0.7493133544921875
611.0,604.0,606.2508175373077,7.0,4.749182462692261
609.0,604.0,611.0000224113464,5.0,2.0000224113464355
608.0,606.0,612.9994592666626,2.0,4.999459266662598
605.0,606.0,608.1129283905029,1.0,3.1129283905029297
607.0,599.0,598.8991957902908,8.0,8.100804209709167
605.0,600.0,607.9898796081543,5.0,2.989879608154297
608.0,600.0,607.9898796081543,8.0,0.010120391845703125
605.0,593.0,600.9904866218567,12.0,4.0095133781433105
605.0,593.0,605.0000219345093,12.0,2.193450927734375e-05
603.0,591.0,603.0018720626831,12.0,0.0018720626831054688
603.0,592.0,604.0014095306396,11.0,1.0014095306396484
604.0,592.0,604.0014095306396,12.0,0.0014095306396484375
604.0,593.0,605.0015888214111,11.0,1.0015888214111328
603.0,593.0,605.0015888214111,10.0,2.001588821411133
604.0,592.0,604.0031042098999,12.0,0.0031042098999023438
604.0,590.0,602.0041360855103,14.0,1.995863914489746
604.0,590.0,602.0041360855103,14.0,1.995863914489746
605.0,590.0,602.0062866210938,15.0,2.99371337890625
605.0,590.0,602.0062866210938,15.0,2.99371337890625
609.0,589.0,601.0083236694336,20.0,7.991676330566406
609.0,592.0,612.0019607543945,17.0,3.0019607543945312
608.0,592.0,609.0000514984131,16.0,1.000051498413086
614.0,591.0,608.0058078765869,23.0,5.994192123413086
609.0,591.0,614.0020198822021,18.0,5.002019882202148
613.0,589.0,606.9995765686035,24.0,6.000423431396484
616.0,590.0,614.0061225891113,26.0,1.9938774108886719
616.0,590.0,614.0061225891113,26.0,1.9938774108886719
622.0,591.0,615.0104122161865,31.0,6.989587783813477
624.0,591.0,622.0015468597412,33.0,1.998453140258789
625.0,604.0,642.6515464782715,21.0,17.651546478271484
630.0,601.0,618.5662746429443,29.0,11.433725357055664
627.0,601.0,629.9999980926514,26.0,2.999998092651367
634.0,616.0,645.0023250579834,18.0,11.002325057983398
633.0,616.0,634.0007057189941,17.0,1.0007057189941406
638.0,626.0,644.0024757385254,12.0,6.002475738525391
642.0,627.0,638.999921798706,15.0,3.0000782012939453
642.0,627.0,642.0,15.0,0.0
647.0,628.0,642.9994449615479,19.0,4.000555038452148
648.0,628.0,646.951530456543,20.0,1.0484695434570312
647.0,649.0,667.9468383789062,2.0,20.94683837890625
660.0,654.0,652.8566489219666,6.0,7.143351078033447
655.0,654.0,659.9689354896545,1.0,4.968935489654541
659.0,655.0,655.9990198016167,4.0,3.0009801983833313
659.0,655.0,659.0,4.0,0.0
663.0,664.0,668.0010857582092,1.0,5.0010857582092285
668.0,670.0,668.9986617565155,2.0,0.9986617565155029
672.0,670.0,668.9986617565155,2.0,3.001338243484497
670.0,672.0,673.9997847080231,2.0,3.9997847080230713
676.0,668.0,665.9970953464508,8.0,10.002904653549194
670.0,668.0,676.040735244751,2.0,6.040735244750977
672.0,670.0,671.9979642629623,2.0,0.0020357370376586914
676.0,670.0,671.9979642629623,6.0,4.002035737037659
676.0,668.0,674.0008935928345,8.0,1.9991064071655273
673.0,668.0,674.0008935928345,5.0,1.0008935928344727
673.0,669.0,674.9994978904724,4.0,1.999497890472412
673.0,667.0,672.9998393058777,6.0,0.00016069412231445312
674.0,667.0,672.9998393058777,7.0,1.0001606941223145
673.0,664.0,669.9992990493774,9.0,3.0007009506225586
672.0,664.0,672.9984455108643,8.0,0.9984455108642578
670.0,662.0,670.9989900588989,8.0,0.9989900588989258
665.0,657.0,665.9998903274536,8.0,0.9998903274536133
665.0,657.0,665.9998903274536,8.0,0.9998903274536133
665.0,653.0,661.9991683959961,12.0,3.0008316040039062
664.0,653.0,664.9585151672363,11.0,0.9585151672363281
659.0,654.0,665.9589309692383,5.0,6.958930969238281
652.0,651.0,656.0007224082947,1.0,4.000722408294678
646.0,647.0,648.0000414848328,1.0,2.0000414848327637
648.0,647.0,648.0000414848328,1.0,4.1484832763671875e-05
643.0,639.0,640.0003917217255,4.0,2.999608278274536
635.0,634.0,634.1000991463661,1.0,0.8999008536338806
625.0,630.0,631.0005691051483,5.0,6.000569105148315
624.0,630.0,625.2190093994141,6.0,1.2190093994140625
625.0,621.0,614.6078915596008,4.0,10.39210844039917
612.0,614.0,616.3570146560669,2.0,4.3570146560668945
608.0,614.0,612.0316799879074,6.0,4.03167998790741
604.0,607.0,601.0159687995911,3.0,2.9840312004089355
608.0,607.0,601.0159687995911,1.0,6.9840312004089355
596.0,590.0,591.8456478118896,6.0,4.154352188110352
585.0,590.0,594.563512802124,5.0,9.563512802124023
587.0,590.0,585.1686563491821,3.0,1.831343650817871
582.0,588.0,583.1684069633484,6.0,1.1684069633483887
582.0,588.0,583.1684069633484,6.0,1.1684069633483887
573.0,584.0,579.1719574928284,11.0,6.171957492828369
566.0,573.0,562.0040302276611,7.0,3.995969772338867
564.0,573.0,565.9723496437073,9.0,1.9723496437072754
557.0,561.0,553.4704518318176,4.0,3.529548168182373
555.0,561.0,557.0000011920929,6.0,2.0000011920928955
546.0,553.0,548.4868607521057,7.0,2.486860752105713
539.0,545.0,540.2580842971802,6.0,1.2580842971801758
542.0,545.0,540.2580842971802,3.0,1.7419157028198242
529.0,537.0,532.2579641342163,8.0,3.2579641342163086
534.0,537.0,529.0000405311584,3.0,4.999959468841553
521.0,529.0,525.8867671489716,8.0,4.886767148971558
516.0,519.0,511.06177282333374,3.0,4.93822717666626
518.0,519.0,515.8174438476562,1.0,2.18255615234375
