human_line,YOLO line,ModelB line,YOLO error,ModelB error
609.0,591.0,614.0020427703857,18.0,5.002042770385742
613.0,589.0,606.9995746612549,24.0,6.000425338745117
616.0,590.0,614.0061264038086,26.0,1.9938735961914062
616.0,590.0,614.0061264038086,26.0,1.9938735961914062
622.0,591.0,615.0104122161865,31.0,6.989587783813477
624.0,591.0,622.0015525817871,33.0,1.9984474182128906
625.0,604.0,642.6515464782715,21.0,17.651546478271484
630.0,601.0,618.5662879943848,29.0,11.433712005615234
627.0,601.0,630.0000019073486,26.0,3.000001907348633
634.0,616.0,642.0021286010742,18.0,8.002128601074219
633.0,616.0,634.0,17.0,1.0
638.0,626.0,644.0017280578613,12.0,6.001728057861328
642.0,627.0,638.9999580383301,15.0,3.000041961669922
642.0,627.0,641.9994421005249,15.0,0.0005578994750976562
647.0,628.0,642.9987487792969,19.0,4.001251220703125
648.0,628.0,646.8330917358398,20.0,1.1669082641601562
647.0,649.0,667.8285312652588,2.0,20.82853126525879
660.0,654.0,653.1875604987144,6.0,6.812439501285553
655.0,654.0,659.9338479042053,1.0,4.933847904205322
659.0,655.0,655.9991744756699,4.0,3.000825524330139
659.0,655.0,658.9999952316284,4.0,4.76837158203125e-06
663.0,664.0,668.0007991790771,1.0,5.000799179077148
668.0,670.0,668.9973409175873,2.0,0.9973409175872803
672.0,670.0,668.9973409175873,2.0,3.0026590824127197
670.0,672.0,673.9997725486755,2.0,3.999772548675537
676.0,668.0,665.9976768493652,8.0,10.002323150634766
670.0,668.0,676.0001363754272,2.0,6.000136375427246
672.0,670.0,671.9984315633774,2.0,0.001568436622619629
676.0,670.0,671.9984315633774,6.0,4.00156843662262
676.0,668.0,674.0011496543884,8.0,1.9988503456115723
673.0,668.0,674.0011496543884,5.0,1.0011496543884277
673.0,669.0,674.9993329048157,4.0,1.9993329048156738
673.0,667.0,672.9995460510254,6.0,0.000453948974609375
674.0,667.0,672.9995460510254,7.0,1.0004539489746094
673.0,664.0,669.9988560676575,9.0,3.0011439323425293
672.0,664.0,672.9065504074097,8.0,0.906550407409668
670.0,662.0,670.9069738388062,8.0,0.9069738388061523
665.0,657.0,665.9076223373413,8.0,0.9076223373413086
665.0,657.0,665.9076223373413,8.0,0.9076223373413086
665.0,653.0,661.9073400497437,12.0,3.0926599502563477
664.0,653.0,664.8367710113525,11.0,0.8367710113525391
659.0,654.0,665.8370265960693,5.0,6.837026596069336
652.0,651.0,656.0009765625,1.0,4.0009765625
646.0,647.0,648.0001178979874,1.0,2.0001178979873657
648.0,647.0,648.0001178979874,1.0,0.00011789798736572266
643.0,639.0,640.0004714727402,4.0,2.9995285272598267
635.0,634.0,634.0677399709821,1.0,0.9322600290179253
625.0,630.0,631.000741481781,5.0,6.000741481781006
624.0,630.0,625.2245097160339,6.0,1.2245097160339355
625.0,621.0,614.673210144043,4.0,10.326789855957031
612.0,614.0,616.4807243347168,2.0,4.480724334716797
608.0,614.0,612.1270555257797,6.0,4.127055525779724
604.0,607.0,601.0669212341309,3.0,2.9330787658691406
608.0,607.0,601.0669212341309,1.0,6.933078765869141
596.0,590.0,590.8463868498802,6.0,5.1536131501197815
585.0,590.0,594.2503566741943,5.0,9.250356674194336
587.0,590.0,585.7511100769043,3.0,1.2488899230957031
582.0,588.0,583.7503523826599,6.0,1.750352382659912
582.0,588.0,583.7503523826599,6.0,1.750352382659912
573.0,584.0,579.7397389411926,11.0,6.739738941192627
566.0,573.0,562.0520000457764,7.0,3.947999954223633
564.0,573.0,565.9828586578369,9.0,1.982858657836914
557.0,561.0,553.622757434845,4.0,3.3772425651550293
555.0,561.0,556.9999680519104,6.0,1.9999680519104004
546.0,553.0,548.4574346542358,7.0,2.45743465423584
539.0,545.0,540.258143901825,6.0,1.2581439018249512
542.0,545.0,540.258143901825,3.0,1.7418560981750488
529.0,537.0,532.2579517364502,8.0,3.2579517364501953
534.0,537.0,529.0000324249268,3.0,4.999967575073242
521.0,529.0,525.984808921814,8.0,4.984808921813965
516.0,519.0,511.02103567123413,3.0,4.978964328765869
518.0,519.0,515.8687858581543,1.0,2.131214141845703
512.0,517.0,513.8687210083008,5.0,1.8687210083007812
511.0,517.0,513.8687210083008,6.0,2.8687210083007812
504.0,508.0,504.8681125640869,4.0,0.8681125640869141
496.0,493.0,490.4844779968262,3.0,5.515522003173828
496.0,493.0,496.0,3.0,0.0
498.0,490.0,491.1201037168503,8.0,6.879896283149719
495.0,490.0,497.9990849494934,5.0,2.999084949493408
485.0,483.0,491.0028829574585,2.0,6.002882957458496
482.0,476.0,478.3337893486023,6.0,3.666210651397705
481.0,476.0,481.99329662323,5.0,0.9932966232299805
477.0,473.0,478.99438858032227,4.0,1.9943885803222656
470.0,473.0,478.99438858032227,3.0,8.994388580322266
469.0,474.0,474.00924733281136,5.0,5.009247332811356
466.0,469.0,464.3147873878479,3.0,1.6852126121520996
465.0,469.0,464.3147873878479,4.0,0.6852126121520996
465.0,469.0,464.31395149230957,4.0,0.6860485076904297
461.0,469.0,464.31395149230957,8.0,3.3139514923095703
465.0,472.0,463.2309970855713,7.0,1.769002914428711
460.0,471.0,462.999342918396,11.0,2.999342918395996
453.0,471.0,462.999342918396,18.0,9.999342918395996
459.0,468.0,450.0085391998291,9.0,8.991460800170898
457.0,468.0,458.4872808456421,11.0,1.4872808456420898
452.0,461.0,451.48647117614746,9.0,0.5135288238525391
452.0,458.0,448.48494052886963,6.0,3.515059471130371
455.0,458.0,451.7904300689697,3.0,3.2095699310302734
450.0,454.0,450.9191653728485,4.0,0.9191653728485107
453.0,454.0,450.9191653728485,1.0,2.0808346271514893
452.0,455.0,451.9189395904541,3.0,0.08106040954589844
448.0,451.0,447.91923809051514,3.0,0.08076190948486328
452.0,451.0,447.91923809051514,1.0,4.080761909484863
453.0,450.0,450.99598544836044,3.0,2.004014551639557
452.0,450.0,450.9957305788994,2.0,1.0042694211006165
453.0,447.0,448.5628614425659,6.0,4.437138557434082
450.0,447.0,452.85692167282104,3.0,2.856921672821045
451.0,444.0,448.2864441871643,7.0,2.7135558128356934
448.0,444.0,448.2864441871643,4.0,0.28644418716430664
452.0,443.0,447.2854075431824,9.0,4.714592456817627
451.0,447.0,455.9943027496338,4.0,4.994302749633789
450.0,447.0,451.02132272720337,3.0,1.0213227272033691
450.0,439.0,443.0195941925049,11.0,6.980405807495117
448.0,439.0,449.9999523162842,9.0,1.9999523162841797
453.0,438.0,448.998272895813,15.0,4.001727104187012
450.0,437.0,452.3387279510498,13.0,2.3387279510498047
453.0,437.0,452.3387279510498,16.0,0.6612720489501953
444.0,436.0,451.00146198272705,8.0,7.001461982727051
447.0,436.0,444.01418018341064,11.0,2.9858198165893555
446.0,436.0,444.01470470428467,10.0,1.985295295715332
446.0,435.0,443.0132255554199,11.0,2.986774444580078
442.0,435.0,443.0132255554199,7.0,1.0132255554199219
438.0,432.0,440.0142192840576,6.0,2.014219284057617
437.0,432.0,440.0142192840576,5.0,3.014219284057617
438.0,426.0,431.00415897369385,12.0,6.995841026306152
430.0,427.0,439.0038251876831,3.0,9.003825187683105
429.0,427.0,430.60780811309814,2.0,1.6078081130981445
424.0,421.0,424.70991683006287,3.0,0.7099168300628662
424.0,421.0,424.70991683006287,3.0,0.7099168300628662
418.0,419.0,422.6070809364319,1.0,4.607080936431885
413.0,419.0,417.7179102897644,6.0,4.717910289764404
408.0,420.0,413.99986124038696,12.0,5.999861240386963
412.0,413.0,400.99808979034424,1.0,11.001910209655762
407.0,413.0,411.7840346097946,6.0,4.784034609794617
400.0,411.0,405.25061225891113,11.0,5.250612258911133
400.0,411.0,400.0165014266968,11.0,0.016501426696777344
400.0,408.0,396.0402994155884,8.0,3.959700584411621
387.0,401.0,393.4455690383911,14.0,6.445569038391113
391.0,401.0,387.00007247924805,10.0,3.999927520751953
381.0,388.0,377.9990348815918,7.0,3.000965118408203
385.0,388.0,380.9999647140503,3.0,4.000035285949707
378.0,377.0,373.78666591644287,1.0,4.213334083557129
370.0,378.0,378.99918830394745,8.0,8.999188303947449
376.0,378.0,370.07665252685547,2.0,5.923347473144531
370.0,367.0,365.0001734495163,3.0,4.999826550483704
368.0,367.0,369.9994568824768,1.0,1.9994568824768066
361.0,367.0,370.0000944137573,6.0,9.000094413757324
359.0,363.0,357.00061893463135,4.0,1.9993810653686523
356.0,362.0,356.0008239746094,6.0,0.000823974609375
357.0,362.0,356.0008239746094,5.0,0.999176025390625
353.0,360.0,353.93423986434937,7.0,0.9342398643493652
351.0,360.0,353.9996066093445,9.0,2.9996066093444824
351.0,360.0,353.9996066093445,9.0,2.9996066093444824
351.0,361.0,354.998752117157,10.0,3.9987521171569824
349.0,361.0,351.00039291381836,12.0,2.0003929138183594
349.0,359.0,349.00053310394287,10.0,0.0005331039428710938
347.0,356.0,345.99942111968994,9.0,1.0005788803100586
348.0,356.0,345.99942111968994,8.0,2.0005788803100586
343.0,357.0,347.00070571899414,14.0,4.000705718994141
348.0,357.0,343.0,9.0,5.0
347.0,356.0,346.9986400604248,9.0,0.0013599395751953125
349.0,357.0,347.9977264404297,8.0,1.0022735595703125
343.0,357.0,347.9977264404297,14.0,4.9977264404296875
346.0,356.0,342.0017366409302,10.0,3.998263359069824
347.0,356.0,345.99997997283936,9.0,1.0000200271606445
348.0,358.0,347.99815940856934,10.0,0.0018405914306640625
344.0,359.0,347.9107437133789,15.0,3.9107437133789062
347.0,359.0,343.9971923828125,12.0,3.0028076171875
350.0,360.0,349.3366365432739,10.0,0.6633634567260742
349.0,360.0,349.3366365432739,11.0,0.3366365432739258
346.0,354.0,343.33747482299805,8.0,2.662525177001953
347.0,360.0,346.859658241272,13.0,0.14034175872802734
346.0,360.0,346.859658241272,14.0,0.8596582412719727
348.0,352.0,341.3377618789673,4.0,6.662238121032715
350.0,352.0,347.99999952316284,2.0,2.000000476837158
353.0,355.0,351.0002884864807,2.0,1.999711513519287
351.0,355.0,350.47639989852905,4.0,0.5236001014709473
350.0,355.0,350.47639989852905,5.0,0.47639989852905273
354.0,347.0,343.00071024894714,7.0,10.999289751052856
351.0,347.0,353.9935474395752,4.0,2.9935474395751953
351.0,345.0,351.9941053390503,6.0,0.994105339050293
354.0,344.0,350.99360847473145,10.0,3.0063915252685547
350.0,344.0,354.011266708374,6.0,4.011266708374023
350.0,345.0,350.99984979629517,5.0,0.999849796295166
347.0,342.0,347.9990758895874,5.0,0.9990758895874023
350.0,342.0,347.9990758895874,8.0,2.0009241104125977
348.0,343.0,348.99865436553955,5.0,0.9986543655395508
346.0,343.0,348.99865436553955,3.0,2.998654365539551
344.0,341.0,346.99929332733154,3.0,2.999293327331543
339.0,340.0,345.99817514419556,1.0,6.998175144195557
341.0,340.0,339.0000123977661,1.0,1.9999876022338867
339.0,335.0,333.9992370605469,4.0,5.000762939453125
334.0,330.0,333.9989342689514,4.0,0.0010657310485839844
328.0,320.0,323.99804067611694,8.0,4.001959323883057
331.0,320.0,327.99999237060547,11.0,3.0000076293945312
327.0,325.0,336.2291717529297,2.0,9.229171752929688
329.0,325.0,328.0792691707611,4.0,0.9207308292388916
322.0,326.0,329.0784466266632,4.0,7.078446626663208
322.0,328.0,327.9652698971331,6.0,5.965269897133112
314.0,328.0,327.9531543664634,14.0,13.953154366463423
313.0,317.0,316.93842962011695,4.0,3.938429620116949
313.0,317.0,316.93410231918097,4.0,3.9341023191809654
309.0,316.0,315.92782846838236,7.0,6.9278284683823586
307.0,320.0,319.91650073230267,13.0,12.916500732302666
306.0,320.0,319.90282279253006,14.0,13.90282279253006
304.0,280.0,279.8957369402051,24.0,24.104263059794903
301.0,280.0,303.58227729797363,21.0,2.582277297973633
299.0,270.0,290.54909896850586,29.0,8.45090103149414
297.0,270.0,299.00085067749023,27.0,2.0008506774902344
295.0,270.0,299.00085067749023,25.0,4.000850677490234
290.0,272.0,296.9934597015381,18.0,6.993459701538086
289.0,272.0,290.00000381469727,17.0,1.0000038146972656
291.0,268.0,286.0045871734619,23.0,4.995412826538086
286.0,264.0,286.9969844818115,22.0,0.9969844818115234
286.0,264.0,286.9969844818115,22.0,0.9969844818115234
283.0,263.0,285.99901008605957,20.0,2.9990100860595703
282.0,263.0,285.99901008605957,19.0,3.9990100860595703
284.0,257.0,275.9969482421875,27.0,8.0030517578125
283.0,257.0,283.99860191345215,26.0,0.9986019134521484
282.0,257.0,283.99860191345215,25.0,1.9986019134521484
275.0,252.0,278.99902534484863,23.0,3.999025344848633
277.0,252.0,275.00115394592285,25.0,1.9988460540771484
273.0,252.0,275.00084495544434,21.0,2.000844955444336
275.0,251.0,273.9923210144043,24.0,1.0076789855957031
276.0,251.0,273.9923210144043,25.0,2.007678985595703
273.0,247.0,275.6631488800049,26.0,2.663148880004883
273.0,247.0,275.6631488800049,26.0,2.663148880004883
270.0,246.0,268.9985065460205,24.0,1.0014934539794922
269.0,246.0,268.9985065460205,23.0,0.0014934539794921875
267.0,242.0,264.99502182006836,25.0,2.0049781799316406
266.0,243.0,265.99098777770996,23.0,0.009012222290039062
266.0,243.0,265.99098777770996,23.0,0.009012222290039062
267.0,247.0,272.8708248138428,20.0,5.870824813842773
266.0,247.0,267.0,19.0,1.0
263.0,243.0,260.83123779296875,20.0,2.16876220703125
261.0,238.0,255.8284206390381,23.0,5.171579360961914
262.0,238.0,260.9999828338623,24.0,1.0000171661376953
259.0,239.0,261.9995002746582,20.0,2.999500274658203
259.0,239.0,261.9995002746582,20.0,2.999500274658203
255.0,235.0,261.2392807006836,20.0,6.239280700683594
253.0,229.0,246.6059856414795,24.0,6.394014358520508
254.0,229.0,253.0001678466797,25.0,0.9998321533203125
248.0,223.0,247.0000286102295,25.0,0.9999713897705078
248.0,223.0,247.0000286102295,25.0,0.9999713897705078
246.0,218.0,241.9965057373047,28.0,4.0034942626953125
241.0,218.0,247.26429176330566,23.0,6.264291763305664
241.0,218.0,241.0,23.0,0.0
235.0,215.0,239.34290313720703,20.0,4.342903137207031
237.0,215.0,235.00128746032715,22.0,1.9987125396728516
237.0,207.0,225.06218147277832,30.0,11.93781852722168
229.0,202.0,232.00104141235352,27.0,3.0010414123535156
230.0,202.0,229.00456428527832,28.0,0.9954357147216797
226.0,197.0,224.00268173217773,29.0,1.9973182678222656
229.0,197.0,224.00268173217773,32.0,4.997318267822266
226.0,192.0,223.47317504882812,34.0,2.526824951171875
227.0,187.0,219.39078903198242,40.0,7.609210968017578
222.0,187.0,226.72996139526367,35.0,4.729961395263672
219.0,184.0,221.10430526733398,35.0,2.1043052673339844
221.0,184.0,221.10430526733398,37.0,0.10430526733398438
217.0,178.0,212.03245544433594,39.0,4.9675445556640625
210.0,180.0,218.3808708190918,30.0,8.380870819091797
211.0,180.0,209.99999809265137,31.0,1.0000019073486328
213.0,177.0,209.62713241577148,36.0,3.3728675842285156
210.0,177.0,211.90081787109375,33.0,1.90081787109375
209.0,174.0,207.45696258544922,35.0,1.5430374145507812
209.0,177.0,211.08047485351562,32.0,2.080474853515625
209.0,177.0,211.08047485351562,32.0,2.080474853515625
206.0,179.0,210.76196098327637,27.0,4.761960983276367
208.0,179.0,206.0002613067627,29.0,1.9997386932373047
211.0,177.0,206.94277954101562,34.0,4.057220458984375
206.0,175.0,206.70220184326172,31.0,0.7022018432617188
210.0,175.0,206.70220184326172,35.0,3.2977981567382812
210.0,178.0,209.82558250427246,32.0,0.17441749572753906
209.0,178.0,209.82558250427246,31.0,0.8255825042724609
210.0,174.0,205.82744026184082,36.0,4.17255973815918
209.0,177.0,212.22315216064453,32.0,3.2231521606445312
210.0,177.0,209.49904251098633,33.0,0.5009574890136719
207.0,178.0,210.4973602294922,29.0,3.4973602294921875
204.0,178.0,207.2720546722412,26.0,3.272054672241211
214.0,179.0,205.23594665527344,35.0,8.764053344726562
209.0,181.0,216.00330352783203,28.0,7.003303527832031
213.0,181.0,209.0,32.0,4.0
217.0,178.0,209.88319396972656,39.0,7.1168060302734375
216.0,178.0,216.83704376220703,38.0,0.8370437622070312
217.0,180.0,218.84584426879883,37.0,1.8458442687988281
219.0,182.0,220.84524154663086,37.0,1.8452415466308594
221.0,182.0,220.84524154663086,39.0,0.15475845336914062
221.0,181.0,219.98511505126953,40.0,1.0148849487304688
223.0,181.0,219.98511505126953,42.0,3.0148849487304688
220.0,182.0,222.97436904907227,38.0,2.9743690490722656
223.0,188.0,228.8229522705078,35.0,5.8229522705078125
223.0,188.0,223.00059509277344,35.0,0.0005950927734375
226.0,190.0,225.00344467163086,36.0,0.9965553283691406
228.0,190.0,225.00344467163086,38.0,2.9965553283691406
231.0,195.0,230.00512313842773,36.0,0.9948768615722656
231.0,194.0,229.00067138671875,37.0,1.99932861328125
233.0,194.0,229.00067138671875,39.0,3.99932861328125
234.0,200.0,238.1020736694336,34.0,4.102073669433594
234.0,200.0,234.1205177307129,34.0,0.12051773071289062
239.0,203.0,237.1167755126953,36.0,1.8832244873046875
236.0,206.0,240.11746215820312,30.0,4.117462158203125
239.0,206.0,236.04009437561035,33.0,2.9599056243896484
241.0,210.0,240.0390338897705,31.0,0.9609661102294922
241.0,210.0,240.0390338897705,31.0,0.9609661102294922
236.0,210.0,240.04702186584473,26.0,4.047021865844727
243.0,210.0,239.6482162475586,33.0,3.3517837524414062
240.0,210.0,242.17138290405273,30.0,2.1713829040527344
240.0,211.0,240.19706535339355,29.0,0.1970653533935547
244.0,211.0,240.19706535339355,33.0,3.8029346466064453
243.0,210.0,242.34046936035156,33.0,0.6595306396484375
244.0,220.0,252.33930206298828,24.0,8.339302062988281
247.0,220.0,244.0,27.0,3.0
247.0,222.0,251.6859073638916,25.0,4.685907363891602
247.0,222.0,247.0044937133789,25.0,0.00449371337890625
249.0,221.0,243.8484115600586,28.0,5.151588439941406
248.0,223.0,250.96805381774902,25.0,2.9680538177490234
248.0,223.0,250.96805381774902,25.0,2.9680538177490234
250.0,223.0,250.96646308898926,27.0,0.9664630889892578
247.0,223.0,250.96646308898926,24.0,3.966463088989258
248.0,225.0,249.00848770141602,23.0,1.0084877014160156
248.0,225.0,249.00550842285156,23.0,1.0055084228515625
249.0,225.0,249.00550842285156,24.0,0.0055084228515625
248.0,226.0,250.00624656677246,22.0,2.006246566772461
249.0,226.0,250.00624656677246,23.0,1.006246566772461
246.0,228.0,252.00160217285156,18.0,6.0016021728515625
249.0,229.0,246.9939136505127,20.0,2.0060863494873047
250.0,229.0,246.9939136505127,21.0,3.0060863494873047
249.0,229.0,249.98943519592285,20.0,0.9894351959228516
248.0,229.0,249.98943519592285,19.0,1.9894351959228516
244.0,230.0,250.98787689208984,14.0,6.987876892089844
246.0,230.0,244.00000095367432,16.0,1.9999990463256836
244.0,228.0,242.00019454956055,16.0,1.9998054504394531
242.0,225.0,238.99879264831543,17.0,3.0012073516845703
243.0,225.0,242.0,18.0,1.0
242.0,224.0,241.00007438659668,18.0,0.9999256134033203
242.0,224.0,241.00007438659668,18.0,0.9999256134033203
243.0,219.0,236.0024642944336,24.0,6.997535705566406
240.0,216.0,239.99267578125,24.0,0.00732421875
239.0,216.0,239.99267578125,23.0,0.99267578125
237.0,216.0,241.13884353637695,21.0,4.138843536376953
240.0,216.0,237.00020217895508,24.0,2.999797821044922
236.0,207.0,227.12176895141602,29.0,8.878231048583984
231.0,204.0,232.9991340637207,27.0,1.9991340637207031
233.0,204.0,232.9991340637207,29.0,0.000865936279296875
229.0,204.0,232.99625396728516,25.0,3.9962539672851562
228.0,204.0,229.00011825561523,24.0,1.0001182556152344
227.0,203.0,227.9989414215088,24.0,0.9989414215087891
227.0,197.0,221.9956169128418,30.0,5.004383087158203
222.0,197.0,226.8679714202881,25.0,4.867971420288086
221.0,196.0,220.99986839294434,25.0,0.0001316070556640625
222.0,196.0,220.99986839294434,26.0,1.000131607055664
217.0,195.0,219.9966812133789,22.0,2.9966812133789062
216.0,197.0,224.4094524383545,19.0,8.409452438354492
216.0,197.0,216.0,19.0,0.0
211.0,195.0,212.75380897521973,16.0,1.7538089752197266
214.0,195.0,212.75380897521973,19.0,1.2461910247802734
209.0,188.0,205.75288200378418,21.0,3.2471179962158203
209.0,187.0,209.33400344848633,22.0,0.3340034484863281
210.0,187.0,209.33400344848633,23.0,0.6659965515136719
206.0,178.0,198.99750900268555,28.0,7.002490997314453
206.0,178.0,206.0006046295166,28.0,0.0006046295166015625
201.0,176.0,203.99971389770508,25.0,2.999713897705078
201.0,172.0,200.00117301940918,29.0,0.9988269805908203
200.0,172.0,200.00117301940918,28.0,0.0011730194091796875
197.0,171.0,199.00004386901855,26.0,2.0000438690185547
195.0,171.0,199.00004386901855,24.0,4.000043869018555
194.0,173.0,196.9998073577881,21.0,2.999807357788086
195.0,175.0,198.99749374389648,20.0,3.9974937438964844
195.0,175.0,195.0000057220459,20.0,5.7220458984375e-06
196.0,169.0,191.44208145141602,27.0,4.557918548583984
191.0,169.0,195.6232738494873,22.0,4.623273849487305
189.0,164.0,186.19893074035645,25.0,2.8010692596435547
188.0,162.0,184.20538330078125,26.0,3.79461669921875
193.0,162.0,187.58232498168945,31.0,5.417675018310547
184.0,162.0,189.04478454589844,22.0,5.0447845458984375
187.0,162.0,183.99999809265137,25.0,3.000001907348633
186.0,165.0,193.02595901489258,21.0,7.025959014892578
